feature_set,representation,classifier,input_features,accuracy,precision_macro,precision_weighted,recall_macro,f1_macro,under_triage_rate,over_triage_rate,fit_seconds,predict_seconds
text_only,full_768,LogisticRegression,768,0.5809312638580931,0.534898952046075,0.6003657121962805,0.6058279526499866,0.548471188309898,0.2106430155210643,0.2084257206208425,0.9650500749999082,0.0039350219999505
text_only,full_768,HistGradientBoosting,768,0.5742793791574279,0.5329398200365942,0.5677774371000893,0.4720400966412931,0.4797581528557795,0.1685144124168514,0.2572062084257206,57.96364525100034,0.0854254860000764
text_only,full_768,RandomForest,768,0.5565410199556541,0.5553478050142504,0.5543396232674401,0.5001405176006373,0.5108438913446822,0.1862527716186252,0.2572062084257206,24.66687407100017,0.1820346249996873
text_only,pca_64,LogisticRegression,64,0.5565410199556541,0.5068332540740567,0.577247099885755,0.574194348172414,0.5178166604295457,0.2239467849223946,0.2195121951219512,0.1393608630000926,0.0017813960002968
text_only,pca_64,HistGradientBoosting,64,0.5698447893569845,0.513903881212819,0.5616047953735935,0.465773183096214,0.4733918147659799,0.1707317073170731,0.2594235033259423,6.9909039449999,0.0571984809998866
text_only,pca_64,RandomForest,64,0.5432372505543237,0.4785990622083337,0.5382270331169761,0.4649209118675719,0.465288287146749,0.2062084257206208,0.2505543237250554,10.110809822000192,0.1734297630000583
fusion,full_768,LogisticRegression,794,0.8248337028824834,0.7703152407639673,0.8339794617759917,0.8176296507303487,0.7867866855455461,0.1152993348115299,0.0598669623059867,1.437653570999828,0.0037775629998577
fusion,full_768,HistGradientBoosting,794,0.8292682926829268,0.8208398309345468,0.8362053954119222,0.7417136817062042,0.7696952981747535,0.0864745011086474,0.0842572062084257,60.51451436100024,0.0695385839999289
fusion,full_768,RandomForest,794,0.7272727272727273,0.7011849501073639,0.7251822189585014,0.627821759588958,0.6436946543939734,0.1086474501108647,0.164079822616408,25.4354368559998,0.1958929709999211
fusion,pca_64,LogisticRegression,90,0.8226164079822617,0.7657609426590545,0.8328190010454791,0.8162172213518175,0.7828278729702366,0.1175166297117516,0.0598669623059867,0.4169498579999526,0.0015224230000967
fusion,pca_64,HistGradientBoosting,90,0.8070953436807096,0.815438371950722,0.8181993089789681,0.7464395833663031,0.7726855935131,0.1086474501108647,0.0842572062084257,8.424439710000115,0.0695986680002533
fusion,pca_64,RandomForest,90,0.8070953436807096,0.7913360318588556,0.8152970504802576,0.7040959792579932,0.730596544157507,0.1042128603104212,0.0886917960088691,9.85612273100014,0.1486577750001743
