model,accuracy,macro_f1,qwk,mae,under_triage_rate,over_triage_rate,cv_macro_f1,cv_std,cv_folds,precision_macro,recall_macro,features
text_768+logreg,0.3726415094339622,0.3575643380446384,0.3646243829593065,0.8443396226415094,0.4292452830188679,0.1981132075471698,0.3634828181249024,0.0421268082013919,5.0,0.381819489110257,0.4191324849682892,768
text_768+hgb,0.4056603773584906,0.3129621413782904,0.264602018813088,0.7452830188679245,0.3537735849056603,0.240566037735849,0.3052730387275713,0.037734925898159,5.0,0.3262139724310777,0.3165256156823984,768
text_768+rf,0.42924528301886794,0.3308330135409243,0.31644859813084114,0.7028301886792453,0.3632075471698113,0.20754716981132076,0.3589495700994145,0.06496265686116721,5.0,0.3564007421150278,0.33383782225516845,768
fused_768+logreg,0.7311320754716981,0.6836735506576683,0.8366850470321116,0.2688679245283019,0.1320754716981132,0.13679245283018868,0.7455657343160782,0.02793177014620025,5.0,0.6771945128626163,0.7053578782637345,792
fused_768+hgb,0.7169811320754716,0.6112388073479184,0.803356890459364,0.28773584905660377,0.09433962264150944,0.18867924528301888,0.6437497317552181,0.04384270225253241,5.0,0.6227379043036622,0.6100609504983115,792
fused_768+rf,0.6509433962264151,0.5123650407544915,0.7113042413856416,0.37264150943396224,0.16981132075471697,0.1792452830188679,0.5275852213456321,0.07931217096644043,5.0,0.5097619047619047,0.5188308211844165,792
text_64+logreg,0.3443396226415094,0.3327409662903182,0.3787358744304611,0.8679245283018868,0.4528301886792453,0.2028301886792453,0.3484763904279923,0.0298435684720187,5.0,0.3586851530495004,0.39820134255827366,64
text_64+hgb,0.3915094339622642,0.2809362515198888,0.0996646252551763,0.7688679245283019,0.2641509433962264,0.3443396226415094,0.2850880214174178,0.0370778648724905,5.0,0.303411199755113,0.30155567910386294,64
text_64+rf,0.4481132075471698,0.33735517875789367,0.31646311675622874,0.6792452830188679,0.35377358490566035,0.19811320754716982,0.36346656455602916,0.06701973365647919,5.0,0.36081143424951645,0.346094843917305,64
fused_64+logreg,0.7264150943396226,0.6793448274930357,0.8255920591249932,0.2783018867924528,0.1320754716981132,0.1415094339622641,0.7324532467818912,0.0238537355905641,5.0,0.6726059941520467,0.7018856560415122,88
fused_64+hgb,0.7311320754716981,0.6329477167488451,0.8075351793009532,0.2735849056603773,0.0849056603773584,0.1839622641509433,0.6633449681373228,0.0324718126562178,5.0,0.7220616424535916,0.6202819990116135,88
fused_64+rf,0.7641509433962265,0.6601519192230172,0.8258740391767915,0.24056603773584906,0.0660377358490566,0.16981132075471697,0.6646371255013321,0.065900234486978,5.0,0.8288690476190476,0.6430045918787579,88
structured+logreg,0.7311320754716981,0.6860476599994453,0.8357438016528925,0.2688679245283019,0.1320754716981132,0.1367924528301886,0.7284073439931005,0.0324136045502572,5.0,0.6791843952770981,0.7043952310353349,24
structured+hgb,0.7264150943396226,0.5970612013905732,0.7920358051561878,0.2830188679245283,0.0896226415094339,0.1839622641509433,0.7115087066590761,0.0537014086262902,5.0,0.6385448916408669,0.5959404085330698,24
structured+rf,0.7311320754716981,0.6554239766081871,0.8086354746502181,0.27358490566037735,0.09905660377358491,0.16981132075471697,0.7493116560125739,0.043030165108135135,5.0,0.7403976053001702,0.6339392348241496,24
