representation,classifier,level,precision,recall,f1-score,support
full_768,LogisticRegression,1,0.926829268292683,0.8444444444444444,0.8837209302325582,135.0
full_768,LogisticRegression,2,0.8176795580110497,0.8361581920903954,0.8268156424581006,177.0
full_768,LogisticRegression,3,0.8034188034188035,0.7899159663865546,0.7966101694915254,119.0
full_768,LogisticRegression,4,0.5333333333333333,0.8,0.64,20.0
full_768,HistGradientBoosting,1,0.9658119658119658,0.837037037037037,0.8968253968253969,135.0
full_768,HistGradientBoosting,2,0.7794117647058824,0.8983050847457628,0.8346456692913385,177.0
full_768,HistGradientBoosting,3,0.788135593220339,0.7815126050420168,0.7848101265822784,119.0
full_768,HistGradientBoosting,4,0.75,0.45,0.5625,20.0
full_768,RandomForest,1,0.7724137931034483,0.8296296296296296,0.8,135.0
full_768,RandomForest,2,0.7380952380952381,0.7005649717514124,0.7188405797101449,177.0
full_768,RandomForest,3,0.6692307692307692,0.7310924369747899,0.6987951807228916,119.0
full_768,RandomForest,4,0.625,0.25,0.35714285714285715,20.0
pca_64,LogisticRegression,1,0.926829268292683,0.8444444444444444,0.8837209302325582,135.0
pca_64,LogisticRegression,2,0.8166666666666667,0.8305084745762712,0.8235294117647058,177.0
pca_64,LogisticRegression,3,0.8034188034188035,0.7899159663865546,0.7966101694915254,119.0
pca_64,LogisticRegression,4,0.5161290322580645,0.8,0.6274509803921569,20.0
pca_64,HistGradientBoosting,1,0.9553571428571429,0.7925925925925926,0.8663967611336032,135.0
pca_64,HistGradientBoosting,2,0.7475728155339806,0.8700564971751412,0.804177545691906,177.0
pca_64,HistGradientBoosting,3,0.773109243697479,0.773109243697479,0.773109243697479,119.0
pca_64,HistGradientBoosting,4,0.7857142857142857,0.55,0.6470588235294118,20.0
pca_64,RandomForest,1,0.9649122807017544,0.8148148148148148,0.8835341365461847,135.0
pca_64,RandomForest,2,0.7738693467336684,0.8700564971751412,0.8191489361702128,177.0
pca_64,RandomForest,3,0.7265625,0.7815126050420168,0.7530364372469636,119.0
pca_64,RandomForest,4,0.7,0.35,0.4666666666666667,20.0
