representation,classifier,level,precision,recall,f1-score,support
full_768,LogisticRegression,1,0.5964912280701754,0.7555555555555555,0.6666666666666666,135.0
full_768,LogisticRegression,2,0.6422764227642277,0.4463276836158192,0.5266666666666666,177.0
full_768,LogisticRegression,3,0.591304347826087,0.5714285714285714,0.5811965811965812,119.0
full_768,LogisticRegression,4,0.30952380952380953,0.65,0.41935483870967744,20.0
full_768,HistGradientBoosting,1,0.6363636363636364,0.674074074074074,0.6546762589928058,135.0
full_768,HistGradientBoosting,2,0.5483870967741935,0.576271186440678,0.5619834710743802,177.0
full_768,HistGradientBoosting,3,0.5470085470085471,0.5378151260504201,0.5423728813559322,119.0
full_768,HistGradientBoosting,4,0.4,0.1,0.16,20.0
full_768,RandomForest,1,0.5838509316770186,0.6962962962962963,0.6351351351351351,135.0
full_768,RandomForest,2,0.54,0.4576271186440678,0.4954128440366973,177.0
full_768,RandomForest,3,0.5419847328244275,0.5966386554621849,0.568,119.0
full_768,RandomForest,4,0.5555555555555556,0.25,0.3448275862068966,20.0
pca_64,LogisticRegression,1,0.591715976331361,0.7407407407407407,0.6578947368421053,135.0
pca_64,LogisticRegression,2,0.6111111111111112,0.4350282485875706,0.5082508250825083,177.0
pca_64,LogisticRegression,3,0.5636363636363636,0.5210084033613446,0.5414847161572053,119.0
pca_64,LogisticRegression,4,0.2608695652173913,0.6,0.36363636363636365,20.0
pca_64,HistGradientBoosting,1,0.6319444444444444,0.674074074074074,0.6523297491039427,135.0
pca_64,HistGradientBoosting,2,0.5440414507772021,0.5932203389830508,0.5675675675675675,177.0
pca_64,HistGradientBoosting,3,0.5462962962962963,0.4957983193277311,0.5198237885462555,119.0
pca_64,HistGradientBoosting,4,0.3333333333333333,0.1,0.15384615384615385,20.0
pca_64,RandomForest,1,0.6038961038961039,0.6888888888888889,0.643598615916955,135.0
pca_64,RandomForest,2,0.5562913907284768,0.4745762711864407,0.5121951219512195,177.0
pca_64,RandomForest,3,0.48148148148148145,0.5462184873949579,0.5118110236220472,119.0
pca_64,RandomForest,4,0.2727272727272727,0.15,0.1935483870967742,20.0
