diagnostic,fold,fraction,train_rows,accuracy,precision_macro,recall_macro,macro_f1,qwk,mae,under_triage_rate,over_triage_rate
shuffled_training_labels,0,1.0,5333,0.42653673163418293,0.3569355970919796,0.3426248232932931,0.3274141368177658,-0.037227407328324746,0.658920539730135,0.2717391304347826,0.3017241379310345
learning_curve,0,0.25,1280,0.9887556221889056,0.9849338441890166,0.9900394166967285,0.9873976849524668,0.9889560394072356,0.011244377811094454,0.010119940029985007,0.0011244377811094452
learning_curve,0,0.5,2688,0.9895052473763118,0.9863650648196306,0.9896992685084259,0.9879974201256396,0.9896733583039448,0.010494752623688156,0.007871064467766116,0.002623688155922039
learning_curve,0,1.0,5333,0.9902548725637181,0.9879813745871667,0.9898354195397175,0.9888952026331687,0.9903925737730892,0.009745127436281859,0.006746626686656672,0.0029985007496251873
shuffled_training_labels,1,1.0,5336,0.42176360225140713,0.33801622487277944,0.33837353272034604,0.3228268194486576,-0.01359098244267365,0.6604127579737336,0.27054409005628516,0.3076923076923077
learning_curve,1,0.25,1360,0.9913696060037523,0.9877483210671495,0.9926952203303966,0.9901532486388399,0.9915229261318336,0.008630393996247656,0.0075046904315197,0.001125703564727955
learning_curve,1,0.5,2667,0.9906191369606003,0.9894242782515366,0.9886108978169995,0.9890143283674129,0.9907167375306453,0.009380863039399626,0.00525328330206379,0.004127579737335835
learning_curve,1,1.0,5336,0.9909943714821764,0.9903587164494131,0.9888760794664294,0.9896117033655099,0.9910817890299313,0.00900562851782364,0.00450281425891182,0.00450281425891182
shuffled_training_labels,2,1.0,5333,0.424287856071964,0.34887655535436474,0.33888362696382596,0.32192887333345627,-0.04342556501842054,0.6600449775112444,0.27886056971514245,0.29685157421289354
learning_curve,2,0.25,1337,0.9868815592203898,0.9875953826412142,0.9820156088284039,0.9847298275812099,0.986945958111875,0.013118440779610194,0.004122938530734633,0.008995502248875561
learning_curve,2,0.5,2701,0.9891304347826086,0.9894826846708002,0.9853925211052669,0.98739352339466,0.9892079447112904,0.010869565217391304,0.0029985007496251873,0.007871064467766116
learning_curve,2,1.0,5333,0.9895052473763118,0.9885939968404424,0.986344328993238,0.9874568884796565,0.9895967254974922,0.010494752623688156,0.004872563718140929,0.005622188905547227
