Word,Frequency
sēna,533
aur,439
dárd,347
pain,202
sāns,173
chest,172
bohat,105
bēhōsh,80
jálan,77
pasīna,74
kamzōrī,68
dháḍkan,66
aa,56
úlṭī,54
pāir,52
tez,52
bukhār,51
dil,51
heart,43
bhaari,40
chōṭ,40
phūlna,38
left,38
chákkar,38
tak,38
ghabrahat,37
bāzū,36
tight,36
kabhi,36
jaisa,35
halka,35
dono,35
ruk,34
saath,34
lekin,33
khūn,33
tightness,32
peṭ,31
zyada,30
raat,30
baad,29
severe,28
mehsoos,27
shadeed,26
gaya,25
gardan,25
mushkil,25
neend,25
gayi,24
pīṭh,24
thanda,24
tees,24
patient,22
kharish,22
ja,22
hota,22
pressure,21
khānsī,21
haath,20
sūjan,20
jábra,20
sár,19
achanak,19
hoti,19
ab,18
daura,18
history,16
baazu,16
kay,16
jo,16
takleef,15
haml,15
cardiac,15
mild,15
letay,15
jaati,15
gaye,14
high,14
hi,14
irregular,14
lena,14
bhaaree,14
din,13
attack,13
aana,13
halki,13
sweeting,13
lene,12
waqt,12
fast,12
huay,12
jaise,12
ziada,12
buchan,12
pressur,12
lag,11
gir,11
bp,11
collapse,11
taraf,11
si,11
walking,11
bohot,11
shortness,10
abdominal,10
hua,10
sōnn,10
phoolti,10
upar,10
bleading,10
karte,9
dizziness,9
of,9
shuru,9
slow,9
occasional,9
kāndha,9
akar,9
vomitting,9
shouldar,9
type,9
acchaanak,9
side,8
khana,8
migraine,8
asthma,8
food,8
garmīlagna,8
after,8
arrest,8
baayein,8
jabde,8
let,8
choobhan,8
aata,8
pehle,7
haḍḍī,7
ankle,7
poisoning,7
exhaustion,7
girna,7
hand,7
mi,7
dyspnea,7
matli,7
theek,7
baayin,7
ghante,7
baar,7
aaya,7
jaata,7
sakti,6
kaam,6
right,6
knee,6
mōch,6
viral,6
toot,6
sath,6
phail,6
chalne,6
normal,6
gas,6
stress,6
kuch,6
say,6
pe,6
sunapan,6
aate,6
roz,6
lagta,6
gabrahat,6
koi,6
foolna,6
subah,5
hue,5
chal,5
heavy,5
epigastric,5
